State,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
Alabama,58,2641,99,71.6,54,4903185,827,16.9,42240,3.9,3.5,12.08,224.7,13473,20.9,36.2,91,15542,586229,2793017,60905720,43223,59,2821804,2207,1278,4.3,52,13,35,4-Apr-20,30-Apr-20
Alaska,41,2061,61,77.1,26.5,731545,87,11.8,59605,6.6,9.44,13.83,129.7,815,21,29.5,10,1235,45209,243272,5374320,762,66,468893,260,1803,0,39,29,32,28-Mar-20,21-Apr-20
Arizona,85,3806,193,38.5,32.5,7278717,1258,17.5,44414,4.8,8.38,11.35,136.4,12455,15.6,29.5,72,13296,607440,2650660,78179660,20005,89.8,5740659,2187,2625,1.9,40,21,39,31-Mar-20,30-Apr-20
Arkansas,61,2771,123,70.9,50.7,3017804,512,17,43292,3.7,4.51,9.48,217.4,8171,22.3,37.1,52,7848,312334,1381005,26758580,45071,56.2,1637589,1097,1493,2.1,46,16,38,NA,NA
California,68,3055,146,61,44.2,39512223,5669,14.3,63711,4.2,3.14,8.55,139.7,62547,11.3,25.8,341,74186,3077804,14304467,474412407,77857,95,35373606,8219,4304,5.3,30,21,49,19-Mar-20,TBD
Colorado,71,3204,136,54.1,28.8,5758736,808,14.2,58500,3.3,4.63,8.44,124.3,7370,14.6,23,55,8243,395583,1754516,66900493,36180,86.2,4332761,1528,2836,1.5,41,17,42,26-Mar-20,26-Apr-20
Connecticut,56,2585,82,69.2,40.7,3565287,615,17.2,76481,4.1,2.58,5.3,142.1,7205,12.7,27.4,34,8847,364643,1716088,37847707,5977,88,3144942,1826,1722,37.7,32,18,50,23-Mar-20,20-May-20
Delaware,55,2500,97,70.9,45.8,973764,181,18.7,52599,3.8,3.64,6.26,159.1,2030,17,33.5,8,2072,93905,470640,7927141,2451,83.3,747949,407,1838,20.8,29,17,55,24-Mar-20,TBD
Florida,66,2927,101,74.5,62.7,21477737,4358,20.5,50199,3.6,7.55,14.47,143.1,47027,16.1,30.7,215,55727,2537960,11678225,326534265,47740,91.2,17139844,7403,2315,13.7,37,19,44,3-Apr-20,30-Apr-20
Georgia,66,2986,112,71.1,53.4,10617423,1460,13.9,46519,3.9,8.14,15.58,175.8,18986,17.5,32.5,112,22344,929988,4666056,105999672,42257,75.1,7272151,4797,1516,8.3,41,18,41,3-Apr-20,30-Apr-20
Hawaii,71,3210,90,73.3,65.2,1415872,261,18.4,55414,2.4,2.61,4.52,125.6,2570,12.8,24.9,14,2583,89410,523274,8188297,7000,91.9,1250489,393,3181,6.1,28,20,51,25-Mar-20,30-Apr-20
Idaho,64,2993,120,62.4,30.9,1787065,278,15.9,43994,2.8,6.11,12.98,157.9,3122,14.3,28.4,18,2470,114917,470325,12387992,24816,70.6,1106370,499,2217,0.6,49,19,32,25-Mar-20,30-Apr-20
Illinois,56,2567,95,70.9,42.7,12671821,1993,15.6,56919,4.3,3.38,8.1,163.9,25755,15.5,31.8,141,28953,1227612,5571456,146597001,75087,88.5,11353553,3946,2878,7.1,33,19,48,21-Mar-20,30-May-20
Indiana,55,2440,88,72,43,6732219,1055,15.8,47124,3.4,6.56,8.84,180.7,14532,21.8,34.1,101,16084,681661,3095821,80060807,58695,72.4,4697100,2525,1860,7,42,20,37,24-Mar-20,1-May-20
Iowa,59,2691,105,72.4,39.8,3155070,540,17.1,50243,2.5,2.69,5.4,165.1,7185,17.1,35.3,39,6266,261605,1164207,24892373,88637,64,1950256,953,2046,1.7,41,19,40,NA,NA
Kansas,65,2922,128,65.7,43.6,2913314,462,15.9,51474,3.4,5.11,10.07,158.9,5823,17.4,34.4,58,6466,276046,1195175,33860141,61773,74.2,2116961,973,2176,1.2,46,23,31,30-Mar-20,3-May-20
