accession,link,date,country,region
NC_045512,https://www.ncbi.nlm.nih.gov/nuccore/NC_045512,NA,China,NA
MT447189,https://www.ncbi.nlm.nih.gov/nuccore/MT447189,2020-03-02,Uzbekistan,NA
MT447188,https://www.ncbi.nlm.nih.gov/nuccore/MT447188,2020-03-02,Uzbekistan,NA
MT447177,https://www.ncbi.nlm.nih.gov/nuccore/MT447177,2020-03-26,Iran,NA
MT447176,https://www.ncbi.nlm.nih.gov/nuccore/MT447176,2020-03-20,Thailand,NA
MT447175,https://www.ncbi.nlm.nih.gov/nuccore/MT447175,2020-03-19,Thailand,NA
MT447174,https://www.ncbi.nlm.nih.gov/nuccore/MT447174,2020-03-01,Thailand,NA
MT447173,https://www.ncbi.nlm.nih.gov/nuccore/MT447173,2020-03-18,Thailand,NA
MT447172,https://www.ncbi.nlm.nih.gov/nuccore/MT447172,2020-03-18,Thailand,NA
MT447171,https://www.ncbi.nlm.nih.gov/nuccore/MT447171,2020-03-16,Thailand,NA
MT447170,https://www.ncbi.nlm.nih.gov/nuccore/MT447170,2020-03-13,Thailand,NA
MT447169,https://www.ncbi.nlm.nih.gov/nuccore/MT447169,2020-03-12,Thailand,NA
MT447168,https://www.ncbi.nlm.nih.gov/nuccore/MT447168,2020-03-12,Thailand,NA
MT447167,https://www.ncbi.nlm.nih.gov/nuccore/MT447167,2020-03-11,Thailand,NA
MT447166,https://www.ncbi.nlm.nih.gov/nuccore/MT447166,2020-01-23,Thailand,NA
MT447165,https://www.ncbi.nlm.nih.gov/nuccore/MT447165,2020-02-25,Thailand,NA
MT447164,https://www.ncbi.nlm.nih.gov/nuccore/MT447164,2020-02-25,Thailand,NA
MT447163,https://www.ncbi.nlm.nih.gov/nuccore/MT447163,2020-02-22,Thailand,NA
MT447162,https://www.ncbi.nlm.nih.gov/nuccore/MT447162,2020-02-07,Thailand,NA
MT447161,https://www.ncbi.nlm.nih.gov/nuccore/MT447161,2020-02-03,Thailand,NA
MT447160,https://www.ncbi.nlm.nih.gov/nuccore/MT447160,2020-01-29,Thailand,NA
MT447159,https://www.ncbi.nlm.nih.gov/nuccore/MT447159,2020-01-26,Thailand,NA
MT447158,https://www.ncbi.nlm.nih.gov/nuccore/MT447158,2020-01-25,Thailand,NA
MT447157,https://www.ncbi.nlm.nih.gov/nuccore/MT447157,2020-01-25,Thailand,NA
MT447156,https://www.ncbi.nlm.nih.gov/nuccore/MT447156,2020-01-23,Thailand,NA
MT447155,https://www.ncbi.nlm.nih.gov/nuccore/MT447155,2020-01-08,Thailand,NA
MT447154,https://www.ncbi.nlm.nih.gov/nuccore/MT447154,2020-02-01,Thailand,NA
MT446361,https://www.ncbi.nlm.nih.gov/nuccore/MT446361,2020-04-06,USA,"DELACROIX, LA"
MT446360,https://www.ncbi.nlm.nih.gov/nuccore/MT446360,2020-04-05,USA,SLIDELL LA
MT446359,https://www.ncbi.nlm.nih.gov/nuccore/MT446359,2020-04-05,USA,"SLIDELL, LA"
MT446358,https://www.ncbi.nlm.nih.gov/nuccore/MT446358,2020-04-06,USA,"RACELAND, LA"
MT446357,https://www.ncbi.nlm.nih.gov/nuccore/MT446357,2020-04-06,USA,"HOUMA, LA"
MT446356,https://www.ncbi.nlm.nih.gov/nuccore/MT446356,2020-04-03,USA,"Lacombe, LA"
MT446355,https://www.ncbi.nlm.nih.gov/nuccore/MT446355,2020-04-08,USA,"Slidell, LA"
MT446354,https://www.ncbi.nlm.nih.gov/nuccore/MT446354,2020-04-08,USA,"MARINGOUIN, LA"
MT446353,https://www.ncbi.nlm.nih.gov/nuccore/MT446353,2020-04-06,USA,"THIBODAUX,LA"
MT446352,https://www.ncbi.nlm.nih.gov/nuccore/MT446352,2020-04-06,USA,"GHEENS, LA"
MT446351,https://www.ncbi.nlm.nih.gov/nuccore/MT446351,2020-04-06,USA,"GRAY, LA"
MT446350,https://www.ncbi.nlm.nih.gov/nuccore/MT446350,2020-04-06,USA,"New Orleans, LA"
MT446349,https://www.ncbi.nlm.nih.gov/nuccore/MT446349,2020-04-04,USA,"KENNER, LA"
MT446348,https://www.ncbi.nlm.nih.gov/nuccore/MT446348,2020-04-06,USA,"New Orleans, LA"
MT446347,https://www.ncbi.nlm.nih.gov/nuccore/MT446347,2020-04-06,USA,"RACELAND, LA"
MT446346,https://www.ncbi.nlm.nih.gov/nuccore/MT446346,2020-04-07,USA,"LULING, LA"
MT446345,https://www.ncbi.nlm.nih.gov/nuccore/MT446345,2020-04-04,USA,"NEW ORLEANS, LA"
MT446344,https://www.ncbi.nlm.nih.gov/nuccore/MT446344,2020-04-04,USA,"LOCKPORT, LA"
MT446343,https://www.ncbi.nlm.nih.gov/nuccore/MT446343,2020-04-04,USA,"New Orleans, LA"
MT446342,https://www.ncbi.nlm.nih.gov/nuccore/MT446342,2020-04-08,USA,"SAINT ROSE, LA"
MT446341,https://www.ncbi.nlm.nih.gov/nuccore/MT446341,2020-04-08,USA,"KILLONA, LA"
MT446340,https://www.ncbi.nlm.nih.gov/nuccore/MT446340,2020-04-08,USA,"KENNER, LA"
MT446339,https://www.ncbi.nlm.nih.gov/nuccore/MT446339,2020-04-06,USA,"MARINGOUIN, LA"
MT446312,https://www.ncbi.nlm.nih.gov/nuccore/MT446312,2020-02-05,China,"Guangdong, Guangzhou"
MT444635,https://www.ncbi.nlm.nih.gov/nuccore/MT444635,2020-04-15,USA,NA
MT444634,https://www.ncbi.nlm.nih.gov/nuccore/MT444634,2020-04-15,USA,NA
MT444633,https://www.ncbi.nlm.nih.gov/nuccore/MT444633,2020-04-14,USA,NA
MT444632,https://www.ncbi.nlm.nih.gov/nuccore/MT444632,2020-04-15,USA,NA
MT444631,https://www.ncbi.nlm.nih.gov/nuccore/MT444631,2020-04-14,USA,NA
MT444630,https://www.ncbi.nlm.nih.gov/nuccore/MT444630,2020-04-15,USA,NA
MT444629,https://www.ncbi.nlm.nih.gov/nuccore/MT444629,2020-04-14,USA,NA
MT444628,https://www.ncbi.nlm.nih.gov/nuccore/MT444628,2020-04-15,USA,NA
MT444627,https://www.ncbi.nlm.nih.gov/nuccore/MT444627,2020-04-14,USA,NA
MT444626,https://www.ncbi.nlm.nih.gov/nuccore/MT444626,2020-04-15,USA,NA
MT444625,https://www.ncbi.nlm.nih.gov/nuccore/MT444625,2020-04-15,USA,NA
MT444624,https://www.ncbi.nlm.nih.gov/nuccore/MT444624,2020-04-15,USA,NA
MT444623,https://www.ncbi.nlm.nih.gov/nuccore/MT444623,2020-04-14,USA,NA
MT444622,https://www.ncbi.nlm.nih.gov/nuccore/MT444622,2020-04-15,USA,NA
MT444621,https://www.ncbi.nlm.nih.gov/nuccore/MT444621,2020-04-15,USA,NA
MT444620,https://www.ncbi.nlm.nih.gov/nuccore/MT444620,2020-04-15,USA,NA
MT444619,https://www.ncbi.nlm.nih.gov/nuccore/MT444619,2020-04-14,USA,NA
MT444618,https://www.ncbi.nlm.nih.gov/nuccore/MT444618,2020-04-15,USA,NA
MT444617,https://www.ncbi.nlm.nih.gov/nuccore/MT444617,2020-04-15,USA,NA
MT444616,https://www.ncbi.nlm.nih.gov/nuccore/MT444616,2020-04-15,USA,NA
MT444615,https://www.ncbi.nlm.nih.gov/nuccore/MT444615,2020-04-10,USA,NA
MT444614,https://www.ncbi.nlm.nih.gov/nuccore/MT444614,2020-04-10,USA,NA
MT444613,https://www.ncbi.nlm.nih.gov/nuccore/MT444613,2020-04-10,USA,NA
MT444612,https://www.ncbi.nlm.nih.gov/nuccore/MT444612,2020-04-09,USA,NA
MT444611,https://www.ncbi.nlm.nih.gov/nuccore/MT444611,2020-04-08,USA,NA
MT444610,https://www.ncbi.nlm.nih.gov/nuccore/MT444610,2020-04-08,USA,NA
MT444609,https://www.ncbi.nlm.nih.gov/nuccore/MT444609,2020-04-08,USA,NA
MT444608,https://www.ncbi.nlm.nih.gov/nuccore/MT444608,2020-04-08,USA,NA
